housing single,0.518,,,,,,,,,,,,,,,,,,,
housing duplex,0.037,,,,,,,,,,,,,,,,,,,
shousing row house,0.1,,,,,,,,,,,,,,,,,,,
housing small apartment,0.289,,,,,,,,,,,,,,,,,,,
housing large apartment,0.056,,,,,,,,,,,,,,,,,,,
garden irrigation,10,,,,,,,,,,,,,,,,,,,
faucet efficiency,7.6,,,,,,,,,,,,,,,,,,,
toilet efficiency,10.7,,,,,,,,,,,,,,,,,,,
shower efficiency,10.8,,,,,,,,,,,,,,,,,,,
residential leakage,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
hot laundry ratio,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
hot faucet ratio,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727
hot shower ratio,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782
park irrigation,12,,,,,,,,,,,,,,,,,,,
growth restaurant,0.6,,,,,,,,,,,,,,,,,,,
growth office,0.6,,,,,,,,,,,,,,,,,,,
growth supermarket,0.6,,,,,,,,,,,,,,,,,,,
growth industry,0.6,,,,,,,,,,,,,,,,,,,
growth hotel,0.6,,,,,,,,,,,,,,,,,,,
growth hospital,0.6,,,,,,,,,,,,,,,,,,,
growth school,0.6,,,,,,,,,,,,,,,,,,,
non resi faucet efficiency,7.6,,,,,,,,,,,,,,,,,,,
non resi toilet efficiency,11.4,,,,,,,,,,,,,,,,,,,
non resi shower efficiency,10.9,,,,,,,,,,,,,,,,,,,
non resi leakage reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by electricity for pumping,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
percent by solar PV for pumping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by electricity for water treatment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
percent by solar PV for water treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by electricity for ww transport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
percent by solar PV for ww transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by electricity for ww treatment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
percent by solar PV for ww treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by electricity for resi hot water,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
percent by solar thermal for resi hot water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by natural gas for resi hot water,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668
percent by oil for resi hot water,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
percent by propane for resi hot water,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
percent by electricity for nonresi hot water,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
percent by solar thermal for nonresi hot water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
percent by natural gas for nonresi hot water,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668
percent by oil for nonresi hot water,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
percent by propane for nonresi hot water,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
infil reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
residential rainharvesting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non residential rainharvesting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
